model,run,project,realm,comparison,regression coefficient,,,,,,,
NorESM1-ME,r1i1p1,CMIP5,energy,hfds vs thermal OHC,1.021043707,,,,,,,
ACCESS-CM2,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.968581187,,,,,,,
ACCESS-ESM1-5,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.97642497,,,,,,,
BCC-CSM2-MR,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,,,,,,,,
BCC-ESM1,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,,,,,,,,
CNRM-CM6-1,r1i1p1f2,CMIP6,energy,hfds vs thermal OHC,0.983414545,,,,,,,
CNRM-ESM2-1,r1i1p1f2,CMIP6,energy,hfds vs thermal OHC,0.986444485,,,,,,,
E3SM-1-0,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.969031201,,,,,,,
E3SM-1-1,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.906024287,,,,,,,
EC-Earth3,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.948075708,,,,,,,
EC-Earth3-Veg,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.95757837,,,,,,,
GFDL-CM4,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.996435436,,,,,,,
GISS-E2-1-G,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.592807,,,,,,,
GISS-E2-1-G-CC,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.837044639,,,,,,,
HadGEM3-GC31-LL,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.96885323,,,,,,,
IPSL-CM6A-LR,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.956068614,,,,,,,
MPI-ESM-1-2-HAM,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.958959603,,,,,,,
MPI-ESM1-2-HR,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.947841068,,,,,,,
MPI-ESM1-2-LR,r1i1p1f1,CMIP6,energy,hfds vs thermal OHC,0.897813257,,,,,,,
UKESM1-0-LL,r1i1p1f2,CMIP6,energy,hfds vs thermal OHC,0.973009281,,,,,,,
ACCESS1-0,r1i1p1,CMIP5,mass,wfo vs masso,0.465496554,,,,,,,
ACCESS1-3,r1i1p1,CMIP5,mass,wfo vs masso,0.968261909,,,,,,,
BCC-CSM1-1,r1i1p1,CMIP5,mass,wfo vs masso,,,,,,,,
BCC-CSM1.1(m),r1i1p1,CMIP5,mass,wfo vs masso,,,,,,,,
BNU-ESM,r1i1p1,CMIP5,mass,wfo vs masso,,,,,,,,
CMCC-CESM,r1i1p1,CMIP5,mass,wfo vs masso,,,,,,,,
CMCC-CM,r1i1p1,CMIP5,mass,wfo vs masso,0.906161617,,,,,,,
CMCC-CMS,r1i1p1,CMIP5,mass,wfo vs masso,-0.009840999,,,,,,,
GFDL-CM3,r1i1p1,CMIP5,mass,wfo vs masso,1.061515484,,,,,,,
GFDL-ESM2G,r1i1p1,CMIP5,mass,wfo vs masso,0.974282077,,,,,,,
GFDL-ESM2M,r1i1p1,CMIP5,mass,wfo vs masso,0.8814692,,,,,,,
IPSL-CM5A-LR,r1i1p1,CMIP5,mass,wfo vs masso,0.297417932,,,,,,,
IPSL-CM5A-MR,r1i1p1,CMIP5,mass,wfo vs masso,0.719667027,,,,,,,
IPSL-CM5B-LR,r1i1p1,CMIP5,mass,wfo vs masso,0.533403934,,,,,,,
MIROC4h,r1i1p1,CMIP5,mass,wfo vs masso,,,,,,,,
MIROC-ESM,r1i1p1,CMIP5,mass,wfo vs masso,0.684523935,,,,,,,
MIROC-ESM-CHEM,r1i1p1,CMIP5,mass,wfo vs masso,1.080300688,,,,,,,
MPI-ESM-LR,r1i1p1,CMIP5,mass,wfo vs masso,0.015231081,,,,,,,
MPI-ESM-MR,r1i1p1,CMIP5,mass,wfo vs masso,0.030772919,,,,,,,
MPI-ESM-P,r1i1p1,CMIP5,mass,wfo vs masso,0.114402664,,,,,,,
NorESM1-M,r1i1p1,CMIP5,mass,wfo vs masso,0.029978464,,,,,,,
NorESM1-ME,r1i1p1,CMIP5,mass,wfo vs masso,0.0238602,,,,,,,
ACCESS-CM2,r1i1p1f1,CMIP6,mass,wfo vs masso,0.97749091,,,,,,,
ACCESS-ESM1-5,r1i1p1f1,CMIP6,mass,wfo vs masso,0.929126815,,,,,,,
BCC-CSM2-MR,r1i1p1f1,CMIP6,mass,wfo vs masso,,,,,,,,
BCC-ESM1,r1i1p1f1,CMIP6,mass,wfo vs masso,,,,,,,,
CNRM-CM6-1,r1i1p1f2,CMIP6,mass,wfo vs masso,0.947334069,,,,,,,
CNRM-ESM2-1,r1i1p1f2,CMIP6,mass,wfo vs masso,0.895064274,,,,,,,
E3SM-1-0,r1i1p1f1,CMIP6,mass,wfo vs masso,-0.002127283,,,,,,,
E3SM-1-1,r1i1p1f1,CMIP6,mass,wfo vs masso,0.064607345,,,,,,,
EC-Earth3,r1i1p1f1,CMIP6,mass,wfo vs masso,0.884217891,,,,,,,
EC-Earth3-Veg,r1i1p1f1,CMIP6,mass,wfo vs masso,0.872970866,,,,,,,
GFDL-CM4,r1i1p1f1,CMIP6,mass,wfo vs masso,,,,,,,,
GISS-E2-1-G,r1i1p1f1,CMIP6,mass,wfo vs masso,-0.017096634,,,,,,,
GISS-E2-1-G-CC,r1i1p1f1,CMIP6,mass,wfo vs masso,0.137815824,,,,,,,
HadGEM3-GC31-LL,r1i1p1f1,CMIP6,mass,wfo vs masso,0.995410073,,,,,,,
IPSL-CM6A-LR,r1i1p1f1,CMIP6,mass,wfo vs masso,0.94765267,,,,,,,
